Teller ID    Idle Time        Working Time   Utility (%)
    1          380                220        40.74
    2          330                270        50.00
    3          440                160        29.63
    4          390                210        38.89
    5          500                100        18.52
    6          530                 70        12.96
    7          510                 90        16.67
    8          290                310        57.41
    9          290                310        57.41
   10          430                170        31.48
