Customer ID    Arrival Time        Leaving Time        Waiting Time   Served?
    1            6: 0                  6:30                  0          Yes
    2            6: 7                  6:17                  0          Yes
    3            6:11                  6:41                  0          Yes
    4            6:19                  6:49                  0          Yes
    5            6:21                  6:41                  0          Yes
    6            6:29                  6:39                  0          Yes
    7            6:32                  7: 2                  0          Yes
    8            6:38                  7: 8                  0          Yes
    9            6:44                  7: 9                  5          Yes
   10            6:49                  7:19                  0          Yes
   11            6:53                  7: 3                  0          Yes
   12            6:59                  7:29                  0          Yes
   13            7: 0                  7:20                  0          Yes
   14            7: 7                  7:17                  0          Yes
   15            7:10                  7:20                  0          Yes
   16            7:17                  7:37                  0          Yes
   17            7:22                  7:42                  0          Yes
   18            7:27                  7:47                  0          Yes
   19            7:33                  7:34                  0           No
   20            7:37                  7:57                  0          Yes
   21            7:40                  7:50                  0          Yes
   22            7:49                  7:59                  0          Yes
   23            7:51                  7:52                  0           No
   24            7:56                  7:57                  0           No
   25            8: 3                  8: 4                  0           No
   26            8: 8                  8: 9                  0           No
   27            8:10                  8:11                  0           No
   28            8:17                  8:18                  0           No
   29            8:23                  8:24                  0           No
   30            8:25                  8:26                  0           No
   31            8:33                  8:34                  0           No
   32            8:39                  8:40                  0           No
   33            8:42                  8:43                  0           No
   34            8:45                  9: 5                  0          Yes
   35            8:53                  9:13                  0          Yes
   36            8:58                  9: 8                  0          Yes
   37            9: 4                  9:24                  0          Yes
   38            9: 5                  9:25                  0          Yes
   39            9:13                  9:23                  0          Yes
   40            9:15                  9:35                  0          Yes
   41            9:23                  9:53                  0          Yes
   42            9:27                  9:37                  0          Yes
   43            9:32                  9:52                  0          Yes
   44            9:36                  9:56                  0          Yes
   45            9:44                 10:14                  0          Yes
   46            9:46                  9:56                  0          Yes
   47            9:50                 10:10                  0          Yes
   48            9:57                 10:17                  0          Yes
   49           10: 2                 10:12                  0          Yes
   50           10: 6                 10:26                  0          Yes
   51           10:11                 10:21                  0          Yes
   52           10:19                 10:49                  0          Yes
   53           10:21                 10:51                  0          Yes
   54           10:29                 10:59                  0          Yes
   55           10:32                 10:42                  0          Yes
   56           10:35                 10:45                  0          Yes
   57           10:43                 10:53                  0          Yes
   58           10:45                 11: 5                  0          Yes
   59           10:54                 11:24                  0          Yes
   60           10:57                 11:17                  0          Yes
   61           11: 4                 11:34                  0          Yes
   62           11: 7                 11:17                  0          Yes
   63           11:11                 11:41                  0          Yes
   64           11:17                 11:37                  0          Yes
   65           11:23                 11:33                  0          Yes
   66           11:28                 11:48                  0          Yes
   67           11:34                 11:54                  0          Yes
   68           11:37                 11:57                  0          Yes
   69           11:42                 12:12                  0          Yes
   70           11:47                 12:17                  0          Yes
   71           11:54                 12: 4                  0          Yes
   72           11:57                 12: 7                  0          Yes
   73           12: 3                 12:23                  0          Yes
   74           12: 9                 12:29                  0          Yes
   75           12:12                 12:42                  0          Yes
   76           12:18                 12:38                  0          Yes
   77           12:21                 12:51                  0          Yes
   78           12:27                 12:47                  0          Yes
   79           12:33                 12:43                  0          Yes
   80           12:37                 12:47                  0          Yes
   81           12:44                 13: 4                  0          Yes
   82           12:45                 13:15                  0          Yes
   83           12:54                 13:24                  0          Yes
   84           12:57                 13:17                  0          Yes
   85           13: 3                 13:23                  0          Yes
   86           13: 9                 13:19                  0          Yes
   87           13:12                 13:32                  0          Yes
   88           13:15                 13:35                  0          Yes
   89           13:20                 13:50                  0          Yes
   90           13:29                 13:39                  0          Yes
   91           13:34                 13:44                  0          Yes
   92           13:35                 14: 5                  0          Yes
   93           13:43                 14: 3                  0          Yes
   94           13:47                 14: 7                  0          Yes
   95           13:50                 14:10                  0          Yes
   96           13:58                 14: 8                  0          Yes
   97           14: 4                 14:14                  0          Yes
   98           14: 7                 14:27                  0          Yes
   99           14:14                 14:24                  0          Yes
  100           14:17                 14:27                  0          Yes
