Customer ID    Arrival Time        Leaving Time        Waiting Time   Served?
    1            6: 3                  6:33             119352            24          Yes
    2            6:10                  6:40             117970            48          Yes
    3            6:18                  6:48                  6            18          Yes
    4            6:24                  6:54                  6             0          Yes
    5            6:30                  7: 0             119352            24          Yes
    6            6:35                  7: 5                  6            18          Yes
    7            6:43                  7:13           19826312            32          Yes
    8            6:50                  7:20                  6            22          Yes
    9            6:57                  7:27                  6             0          Yes
   10            7: 5                  7:35                  6             0          Yes
   11            7:10                  7:40                  6           -20          Yes
   12            7:20                  7:50            -119875           -49          Yes
   13            7:30                  7:40          -19828185           -29          Yes
   14            7:33                  8: 3            -119340           -46          Yes
   15            7:39                  8: 9                  6            -6          Yes
   16            7:45                  8:15                  6            -7          Yes
   17            7:53                  8:23          -19830593           -43          Yes
   18            8: 3                  8:33            -119796           -22          Yes
   19            8: 7                  8:17                  6            -6          Yes
   20            8:14                  8:44            -117958           -54          Yes
   21            8:26                  8:56          -19827861           -24          Yes
   22            8:29                  8:59                  6            -9          Yes
   23            8:38                  9: 8            -119855           -50          Yes
   24            8:41                  8:51                  6            -6          Yes
   25            8:48                  9:18                  6            -6          Yes
   26            8:56                  9:26                  6           -29          Yes
   27            9: 2                  9:12                  6            -6          Yes
   28            9:11                  9:41            -240296           -24          Yes
   29            9:18                  9:28            -118443           -10          Yes
   30            9:23                  9:53            -118140           -12          Yes
   31            9:36                  9:37          -19827028            -9           No
   32            9:39                  9:40           13981015            48           No
   33            9:46                  9:47          -19844825           -34           No
   34            9:52                  9:53                  6            -6           No
   35           10: 4                 10: 5                  6            -6           No
   36           10: 8                 10: 9               -540            -6           No
   37           10:12                 10:13                  6           -22           No
   38           10:25                 10:26             -58771           -42           No
   39           10:27                 10:28                  6            -6           No
   40           10:35                 11: 5            -269783           -58          Yes
   41           10:40                 10:41          -19827854           -30           No
   42           10:48                 11:18                  6            -8          Yes
   43           10:55                 11:25            -269885           -51          Yes
   44           11: 4                 11:14                  6            -6          Yes
   45           11:12                 11:22                  6            -8          Yes
   46           11:21                 11:31                  6            -9          Yes
   47           11:25                 11:55          -35519423           -16          Yes
   48           11:31                 11:32                  6            -6           No
   49           11:37                 11:38            -269789           -34           No
   50           11:44                 11:45            -269796           -22           No
